Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 1RX,57.146465,-2.107468,393596,806180,NJ935061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1RY,57.146044,-2.106525,393653,806133,NJ936061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1SA,57.144587,-2.10857,393529,805971,NJ935059,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SB,57.144182,-2.109279,393486,805926,NJ934059,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SD,57.144622,-2.109148,393494,805975,NJ934059,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SE,57.145655,-2.110044,393440,806090,NJ934060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1995-12-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SF,57.145567,-2.107399,393600,806080,NJ936060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1973-08-01,1977-05-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1SH,57.145846,-2.106855,393633,806111,NJ936061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1SJ,57.145799,-2.109482,393474,806106,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1SL,57.145539,-2.108738,393519,806077,NJ935060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
